262
Q;L;X;Y;Sexo;FaixaEtaria;SaudeDengue;SorotipoAtual;Ciclo
16;2;248190;7234410;F;J;I;2;16
0;1482;252740;7233920;M;A;I;2;21
0;1609;251040;7236400;F;A;I;2;22
0;1048;251980;7237400;F;A;I;2;23
0;998;254840;7237300;F;A;I;2;24
0;1123;248600;7239100;M;A;I;2;26
0;1114;254460;7240140;M;A;I;2;27
0;836;253280;7238000;F;A;I;2;28
23;53;253290;7234740;F;A;I;2;29
0;1594;249260;7234500;M;A;I;2;30
0;1128;254260;7239540;F;J;I;2;31
0;773;249080;7236600;F;A;I;2;32
0;1486;252820;7237380;M;A;I;2;33
0;1389;252520;7238140;F;A;I;2;34
0;357;251540;7233480;M;A;I;2;35
12;61;256500;7238490;M;J;I;2;36
0;907;252840;7237880;M;A;I;2;37
14;14;254970;7241010;F;A;I;2;38
0;946;256960;7239800;M;J;I;2;39
0;959;251060;7235260;F;C;I;2;40
3;52;248520;7237050;F;C;I;2;41
30;2;252210;7237050;F;J;I;2;42
0;1359;249900;7237620;M;J;I;2;43
0;1359;249740;7237240;M;C;I;2;44
0;1373;248580;7239400;F;J;I;2;45
0;1296;250760;7236740;F;J;I;2;46
0;775;251460;7238080;M;A;I;2;47
0;529;254020;7242320;M;C;I;2;48
0;1042;253580;7233700;M;A;I;2;49
31;94;250380;7236120;F;A;I;2;50
0;1101;253320;7235080;F;J;I;2;51
0;1340;251840;7234160;F;A;I;2;52
0;976;252320;7237680;M;J;I;2;53
0;1056;255560;7238460;F;A;I;2;54
8;72;256230;7239210;M;A;I;2;55
0;1392;251320;7238000;M;A;I;2;56
0;1603;256900;7236540;F;J;I;2;57
0;892;248140;7238360;F;C;I;2;58
0;1381;254860;7239420;M;C;I;2;59
0;768;248980;7235980;M;C;I;2;59
0;1453;255080;7236860;F;C;I;2;59
0;185;255340;7235280;M;J;I;2;59
0;44;253180;7239340;M;J;I;2;59
0;1046;251240;7239000;F;A;I;2;60
0;1289;249440;7237580;F;C;I;2;60
0;579;250660;7238920;M;J;I;2;60
0;3;254720;7242100;F;J;I;2;60
0;1048;250920;7235020;M;A;I;2;61
0;1354;247920;7237380;M;C;I;2;61
0;1405;256940;7239120;F;C;I;2;61
0;411;251860;7233160;F;J;I;2;61
0;1219;250600;7239820;F;A;I;2;62
0;1354;248440;7237080;F;A;I;2;62
27;47;257400;7239240;M;C;I;2;63
0;1524;254320;7239960;F;C;I;2;63
23;128;252750;7233900;F;C;I;2;63
0;1308;252840;7238380;M;A;I;2;64
0;1665;249140;7233900;F;A;I;2;64
0;1610;252780;7235940;F;J;I;2;64
0;1351;251100;7235920;F;J;I;2;64
0;1331;254480;7241680;M;A;I;2;65
0;1002;252100;7237740;M;C;I;2;65
0;122;246140;7237260;M;J;I;2;65
26;30;253740;7239240;F;A;I;2;66
20;27;255240;7240290;M;C;I;2;66
0;131;247280;7237260;M;J;I;2;66
12;17;257460;7237200;F;J;I;2;66
0;1354;247000;7237580;F;A;I;2;67
0;967;253280;7233960;F;A;I;2;67
0;931;255800;7240080;M;C;I;2;67
0;316;254760;7242140;M;C;I;2;67
0;1364;251400;7235000;M;A;I;2;68
