262
Q;L;X;Y;Sexo;FaixaEtaria;SaudeDengue;SorotipoAtual;Ciclo
0;1111;250365;7235010;F;A;I;2;16
0;1482;252750;7233915;M;A;I;2;21
0;1609;251040;7236405;M;A;I;2;22
11;23;246725;7238325;M;J;I;2;23
0;1219;250935;7239330;M;A;I;2;24
0;1123;248610;7239105;M;J;I;2;26
0;1260;250920;7238535;F;J;I;2;27
31;97;250475;7235850;F;A;I;2;28
22;53;249400;7234525;M;A;I;2;29
0;398;251880;7233750;F;A;I;2;30
20;68;256400;7240575;F;C;I;2;31
0;1048;251415;7235325;M;I;I;2;32
0;1486;252825;7237395;F;A;I;2;33
0;1486;251490;7237350;F;A;I;2;34
0;1389;252510;7238130;F;C;I;2;35
30;84;251500;7235325;F;I;I;2;36
25;132;251375;7233425;M;C;I;2;37
0;1103;252915;7235430;F;J;I;2;38
0;1552;254475;7240635;F;A;I;2;39
0;1362;251100;7238370;F;J;I;2;40
0;1212;252735;7238430;M;A;I;2;41
3;38;249075;7236600;F;A;I;2;42
0;1614;249795;7235550;F;A;I;2;43
0;1182;251640;7237080;F;A;I;2;44
0;1373;248595;7239405;F;J;I;2;45
0;1458;252645;7234455;F;I;I;2;46
0;775;251460;7238070;F;A;I;2;47
0;988;248745;7239300;F;A;I;2;48
0;1042;253575;7233690;M;A;I;2;49
0;115;250395;7236120;F;A;I;2;50
0;109;252060;7236675;M;A;I;2;51
0;11;252600;7234830;F;C;I;2;52
25;104;251475;7232850;M;J;I;2;53
26;74;255550;7238450;F;A;I;2;54
0;255;250590;7239405;F;C;I;2;55
2;80;251675;7237150;F;C;I;2;56
13;26;253300;7242400;M;J;I;2;57
0;1360;250560;7235295;M;J;I;2;58
0;987;248040;7236300;F;C;I;2;59
13;28;253325;7242525;F;C;I;2;59
0;1606;252405;7237185;M;J;I;2;59
0;839;257130;7239150;F;J;I;2;59
0;1485;250170;7237710;F;J;I;2;59
25;60;251875;7233700;M;A;I;2;60
0;1195;250305;7237020;F;A;I;2;60
0;1179;253335;7234440;F;I;I;2;60
0;310;251790;7234185;M;J;I;2;60
0;1505;254820;7238145;F;A;I;2;61
0;26;247725;7236435;F;C;I;2;61
8;5;256600;7238700;F;C;I;2;61
0;1494;249765;7238775;F;J;I;2;61
0;1105;253575;7239495;F;C;I;2;62
0;983;248925;7236735;F;J;I;2;62
2;170;251450;7238075;M;A;I;2;63
14;47;255175;7240950;F;A;I;2;63
31;118;250450;7235125;F;C;I;2;63
0;531;254220;7242240;M;A;I;2;64
0;778;251670;7236795;M;A;I;2;64
0;135;251865;7238895;M;A;I;2;64
0;1272;253815;7242480;M;C;I;2;64
0;393;254655;7235355;M;A;I;2;65
2;139;252225;7237925;M;A;I;2;65
0;1323;257100;7238610;M;J;I;2;65
0;1105;253740;7239255;M;A;I;2;66
0;1415;255540;7240740;M;A;I;2;66
0;133;248910;7237920;F;J;I;2;66
0;1112;251085;7235430;F;J;I;2;66
0;1194;250350;7238220;F;A;I;2;67
0;126;247740;7237110;M;C;I;2;67
8;98;256325;7239050;M;I;I;2;67
