Codigo;Min;Max;Descricao
TRA001;1;3;Quantidade de Ciclos para Humano Exposto Crianca
TRA002;1;3;Quantidade de Ciclos para Humano Exposto Jovem
TRA003;1;3;Quantidade de Ciclos para Humano Exposto Adulto
TRA004;1;3;Quantidade de Ciclos para Humano Exposto Idoso
TRA005;2;4;Quantidade de Ciclos para Humano Infectado Crianca
TRA006;2;4;Quantidade de Ciclos para Humano Infectado Jovem
TRA007;2;4;Quantidade de Ciclos para Humano Infectado Adulto
TRA008;2;4;Quantidade de Ciclos para Humano Infectado Idoso
TRA009;300;300;Quantidade de Ciclos para Humano Imunizado Crianca
TRA010;300;300;Quantidade de Ciclos para Humano Imunizado Jovem
TRA011;300;300;Quantidade de Ciclos para Humano Imunizado Adulto
TRA012;300;300;Quantidade de Ciclos para Humano Imunizado Idoso
TRA013;50;50;Quantidade de Ciclos para Humano Quarentena Crianca
TRA014;50;50;Quantidade de Ciclos para Humano Quarentena Jovem
TRA015;50;50;Quantidade de Ciclos para Humano Quarentena Adulto
TRA016;50;50;Quantidade de Ciclos para Humano Quarentena Idoso
TRA017;400;450;Quantidade de Ciclos para Humano Recuperado Crianca
TRA018;400;450;Quantidade de Ciclos para Humano Recuperado Jovem
TRA019;400;450;Quantidade de Ciclos para Humano Recuperado Adulto
TRA020;400;450;Quantidade de Ciclos para Humano Recuperado Idoso
TRA021;0.60;0.80;Taxa de Eficacia da Vacina
