id;quadra;lote;geom;refinamento
1;0000;L1;01010000000000000000410E41000000001E995B41;20
2;0000;L1;010100000000000000A0410E41000000001E995B41;20
3;0000;L1;01010000000000000040420E410000000019995B41;20
4;0000;L1;010100000000000000E0420E410000000019995B41;20
5;0000;L1;01010000000000000080430E410000000019995B41;20
6;0000;L1;01010000000000000020440E410000000019995B41;20
7;0000;L1;010100000000000000C0440E410000000019995B41;20
9;0000;L10;010100000000000000A0730E41000000008E9C5B41;20
10;0000;L10;010100000000000000A0730E4100000000939C5B41;20
11;0000;L10;010100000000000000A0730E4100000000989C5B41;20
